author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground;residential_complex
Брусника;https://ekb.cian.ru/sale/flat/282892373/;Екатеринбург;sale;flat;9;17;3;77.0;7900000;2024;32.0;20.0;+73432261627;Железнодорожный;Сортировочный жилрайон;Уральская;Квартал Депо ЖК
Без Границ;https://ekb.cian.ru/sale/flat/292409363/;Екатеринбург;sale;flat;17;28;2;77.3;18490000;2023;33.0;19.0;+79030838058;Центр;проспект Ленина;;Ленина 8
TEN девелопмент;https://ekb.cian.ru/sale/flat/292041229/;Екатеринбург;sale;flat;13;21;1;32.9;4764000;2025;11.0;11.0;+73432261632;Верх-Исетский;;Площадь 1905 года;Русь-2 ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/291421984/;Екатеринбург;sale;flat;4;22;2;75.6;7380000;2014;34.0;-1;+79122631024;Орджоникидзевский;Совхозная;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/283650456/;Екатеринбург;sale;flat;1;31;2;47.0;5934000;2025;20.0;15.0;+73432261632;Верх-Исетский;;Площадь 1905 года;Русь-2 ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292711542/;Екатеринбург;sale;flat;18;25;2;60.8;5960000;2013;31.0;-1;+79122631024;Орджоникидзевский;Старых Большевиков;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/292810832/;Екатеринбург;sale;flat;23;31;2;48.2;7297000;2023;22.0;10.0;+73432261706;Ленинский;Академика Бардина;Чкаловская;Дом на Бардина
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/293613484/;Екатеринбург;sale;flat;16;16;3;85.6;10220000;2018;46.0;-1;+79122631024;Кировский;Раевского;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/283650050/;Екатеринбург;sale;flat;2;31;3;71.3;7680000;2025;36.0;14.0;+73432261632;Верх-Исетский;;Площадь 1905 года;Русь-2 ЖК
ID 108076885;https://ekb.cian.ru/sale/flat/292953673/;Екатеринбург;sale;flat;3;9;2;44.6;4550000;1976;28.0;5.0;+79122521440;Орджоникидзевский;Уральских Рабочих;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/284939264/;Екатеринбург;sale;flat;1;19;1;36.0;4884000;2025;13.0;11.0;+73432261765;Орджоникидзевский;Учителей;Машиностроителей;Основинские кварталы
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292514800/;Екатеринбург;sale;flat;1;9;2;74.1;7980000;2004;45.0;-1;+79122631024;Кировский;Блюхера;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/292810870/;Екатеринбург;sale;flat;28;31;1;46.1;7060000;2023;16.0;19.0;+73432261706;Ленинский;Академика Бардина;Чкаловская;Дом на Бардина
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/290594427/;Екатеринбург;sale;flat;6;15;2;68.4;8400000;2006;35.0;-1;+79122631024;Октябрьский;Белинского;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/266882848/;Екатеринбург;sale;flat;1;29;1;36.3;7281000;2024;13.0;-1;+73432261633;Центр;Азина;Динамо;Екатерининский парк
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292846142/;Екатеринбург;sale;flat;13;23;1;42.8;6240000;2017;23.0;-1;+79122631024;Ленинский;Громова;;
Прогресс;https://ekb.cian.ru/sale/flat/276808812/;Екатеринбург;sale;flat;2;24;2;53.87;7504000;2025;-1;18.0;+73432261625;;;Чкаловская;
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/293606010/;Екатеринбург;sale;flat;5;25;1;54.6;5280000;2013;16.0;-1;+79122631024;Чкаловский;Самолетная;;
