author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground;residential_complex
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/291421984/;Екатеринбург;sale;flat;4;22;2;75.6;7380000;2014;34.0;-1;+79122631024;Орджоникидзевский;Совхозная;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/292419942/;Екатеринбург;sale;flat;8;25;1;38.6;4442000;2026;13.0;11.0;+73432261729;;;Чкаловская;Старт ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/293685701/;Екатеринбург;sale;flat;12;12;2;47.6;5150000;1975;35.0;-1;+79122631024;Ленинский;Чкалова;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/292041047/;Екатеринбург;sale;flat;9;19;1;32.2;4712000;2025;10.0;10.0;+73432261765;Орджоникидзевский;;Машиностроителей;Основинские кварталы ЖК
ID 51009005;https://ekb.cian.ru/sale/flat/293210037/;Екатеринбург;sale;flat;4;5;2;41.0;4300000;1965;32.0;6.0;+79122414238;Кировский;Солнечная;Динамо;
Брусника;https://ekb.cian.ru/sale/flat/293532921/;Екатеринбург;sale;flat;2;17;-1;202.0;4800000;2024;10.0;17.0;+73432261627;Железнодорожный;Сортировочный жилрайон;Уральская;Квартал Депо ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292272733/;Екатеринбург;sale;flat;8;10;3;78.7;8850000;2012;45.0;-1;+79122631024;Автовокзал;Николая Островского;;
Железно;https://ekb.cian.ru/sale/flat/291183921/;Екатеринбург;sale;flat;2;8;2;53.0;5815008;2025;26.0;9.0;+73432260872;;;Чкаловская;
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292659319/;Екатеринбург;sale;flat;6;16;2;47.6;3950000;1981;26.0;-1;+79122631024;Железнодорожный;Автомагистральная;;
Брусника;https://ekb.cian.ru/sale/flat/282892373/;Екатеринбург;sale;flat;9;17;3;77.0;7900000;2024;32.0;20.0;+73432261627;Железнодорожный;Сортировочный жилрайон;Уральская;Квартал Депо ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292751890/;Екатеринбург;sale;flat;5;10;1;34.4;4770000;1995;19.0;-1;+79122631024;Автовокзал;Сурикова;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/279923376/;Екатеринбург;sale;flat;4;19;3;71.7;8237000;2025;40.0;10.0;+73432261765;Орджоникидзевский;;Машиностроителей;Основинские кварталы ЖК
Самолет Плюс Екатеринбург;https://ekb.cian.ru/sale/flat/292715659/;Екатеринбург;sale;flat;7;25;2;52.0;5300000;2015;29.0;7.0;+79122515743;Ленинский;Чкалова;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/292810812/;Екатеринбург;sale;flat;16;31;2;60.6;8455000;2023;29.0;14.0;+73432261706;Ленинский;Академика Бардина;Чкаловская;Дом на Бардина
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292751885/;Екатеринбург;sale;flat;5;10;2;48.2;6190000;1995;27.0;-1;+79122631024;Автовокзал;Сурикова;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/290335761/;Екатеринбург;sale;flat;25;29;2;52.2;9537000;2024;22.0;-1;+73432261633;Центр;Азина;Динамо;Екатерининский парк
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292652530/;Екатеринбург;sale;flat;5;12;2;47.9;4500000;1989;22.0;-1;+79122631024;Железнодорожный;Лесная;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/293251936/;Екатеринбург;sale;flat;5;6;1;36.5;10036000;2023;10.0;13.0;+73432261633;Центр;Азина;Динамо;Екатерининский парк
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292372662/;Екатеринбург;sale;flat;2;5;2;59.5;4580000;2018;30.0;-1;+79122631024;;;;
Брусника;https://ekb.cian.ru/sale/flat/282893661/;Екатеринбург;sale;flat;6;17;3;82.41;12800000;2024;38.0;20.0;+73432261621;Ленинский;;Чкаловская;Южные Кварталы ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/293623713/;Екатеринбург;sale;flat;16;22;2;55.5;4820000;2020;28.0;-1;+79122631024;Чкаловский;Дорожная;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/293805229/;Екатеринбург;sale;flat;9;29;3;71.2;12793000;2023;36.0;15.0;+73432261633;Центр;Азина;Динамо;Екатерининский парк
ID 2250814;https://ekb.cian.ru/sale/flat/292674061/;Екатеринбург;sale;flat;8;15;1;33.8;5130000;2022;21.0;-1;+79126807481;Кировский;40-летия Комсомола;Геологическая;Малахит
Железно;https://ekb.cian.ru/sale/flat/291183828/;Екатеринбург;sale;flat;4;8;3;119.0;13121584;2025;47.0;34.0;+73432260872;;;Чкаловская;Лес ЖК
ID 108076885;https://ekb.cian.ru/sale/flat/292953673/;Екатеринбург;sale;flat;3;9;2;44.6;4550000;1976;28.0;5.0;+79122521440;Орджоникидзевский;Уральских Рабочих;;
ACONS GROUP;https://ekb.cian.ru/sale/flat/292938545/;Екатеринбург;sale;flat;12;16;2;82.31;20570000;2023;29.0;26.0;+73432261672;Автовокзал;Машинная;Чкаловская;Clever park
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292272734/;Екатеринбург;sale;flat;8;15;2;61.1;5610000;2014;32.0;-1;+79122631024;Железнодорожный;Дружининская;;
Экологика;https://ekb.cian.ru/sale/flat/289636270/;Екатеринбург;sale;flat;4;8;1;32.01;2906508;2024;10.0;13.0;+73432261790;;;;
Самолет Плюс Екатеринбург;https://ekb.cian.ru/sale/flat/292926263/;Екатеринбург;sale;flat;1;3;1;37.5;3450000;1955;17.0;8.0;+79122515743;Орджоникидзевский;Краснофлотцев;;
Прогресс;https://ekb.cian.ru/sale/flat/290335085/;Екатеринбург;sale;flat;13;22;1;31.95;4550000;2026;-1;-1;+73432261768;;;Чкаловская;Прогресс.Академический ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292567158/;Екатеринбург;sale;flat;4;7;2;64.4;6300000;2017;26.0;-1;+79122631024;;;Чкаловская;
Железно;https://ekb.cian.ru/sale/flat/291183746/;Екатеринбург;sale;flat;1;7;1;37.0;4866282;2025;10.0;16.0;+73432260872;;;Чкаловская;Лес ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292493450/;Екатеринбург;sale;flat;1;5;1;30.8;3370000;2019;18.0;-1;+79122631024;;;;
РСГ-Академическое;https://ekb.cian.ru/sale/flat/292755122/;Екатеринбург;sale;flat;2;15;2;44.91;5152768;2024;-1;-1;+73432261665;;;Чкаловская;
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/290460539/;Екатеринбург;sale;flat;8;16;3;64.6;7100000;1989;40.0;-1;+79122631024;Автовокзал;Фурманова;;
Экологика;https://ekb.cian.ru/sale/flat/289645876/;Екатеринбург;sale;flat;2;8;3;69.54;5674464;2024;28.0;16.0;+73432261790;;;;
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/290594427/;Екатеринбург;sale;flat;6;15;2;68.4;8320000;2006;35.0;-1;+79122631024;Октябрьский;Белинского;;
Союз;https://ekb.cian.ru/sale/flat/293614643/;Екатеринбург;sale;flat;3;21;2;58.33;5991650;2025;-1;-1;+73432261738;;;Чкаловская;
Самолет Плюс Екатеринбург;https://ekb.cian.ru/sale/flat/291719564/;Екатеринбург;sale;flat;15;26;2;74.4;11600000;2023;29.0;22.0;+79122515743;Автовокзал;Сурикова;Чкаловская;Нескучный сад
Прогресс;https://ekb.cian.ru/sale/flat/292243714/;Екатеринбург;sale;flat;2;24;1;39.69;6175000;2025;-1;17.0;+73432261625;;;Чкаловская;
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292272734/;Екатеринбург;sale;flat;8;15;2;61.1;5610000;2014;32.0;-1;+79122631024;Железнодорожный;Дружининская;;
РСГ-Академическое;https://ekb.cian.ru/sale/flat/286029806/;Екатеринбург;sale;flat;9;10;2;47.35;6216057;2025;-1;-1;+73432261773;;;Чкаловская;Кварталы Конструктивизма ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292751885/;Екатеринбург;sale;flat;5;10;2;48.2;6190000;1995;27.0;-1;+79122631024;Автовокзал;Сурикова;;
Прогресс;https://ekb.cian.ru/sale/flat/290336086/;Екатеринбург;sale;flat;1;22;2;50.8;6390000;2026;-1;-1;+73432261768;;;Чкаловская;Прогресс.Академический ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292567158/;Екатеринбург;sale;flat;4;7;2;64.4;6300000;2017;26.0;-1;+79122631024;;;Чкаловская;
Прогресс;https://ekb.cian.ru/sale/flat/293906539/;Екатеринбург;sale;flat;9;22;3;65.3;6580000;2026;-1;-1;+73432261768;;;Чкаловская;Прогресс.Академический ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/293273262/;Екатеринбург;sale;flat;16;16;3;67.2;6990000;2008;48.0;-1;+79122631024;Чкаловский;Самолетная;;
РСГ-Академическое;https://ekb.cian.ru/sale/flat/293502191/;Екатеринбург;sale;flat;1;15;2;65.3;6567674;2022;-1;-1;+73432261708;;;Чкаловская;
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/290460539/;Екатеринбург;sale;flat;8;16;3;64.6;7100000;1989;40.0;-1;+79122631024;Автовокзал;Фурманова;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/292810870/;Екатеринбург;sale;flat;28;31;1;46.1;7060000;2023;16.0;19.0;+73432261706;Ленинский;Академика Бардина;Чкаловская;Дом на Бардина
Самолет Плюс Екатеринбург;https://ekb.cian.ru/sale/flat/291719933/;Екатеринбург;sale;flat;15;18;1;44.8;7500000;2012;18.0;11.0;+79122515743;Верх-Исетский;Токарей;;
Стройтэк;https://ekb.cian.ru/sale/flat/279287126/;Екатеринбург;sale;flat;1;17;2;62.97;7273035;2023;31.0;14.0;+73432261852;;;Чкаловская;
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/290594427/;Екатеринбург;sale;flat;6;15;2;68.4;8320000;2006;35.0;-1;+79122631024;Октябрьский;Белинского;;
Прогресс;https://ekb.cian.ru/sale/flat/276808812/;Екатеринбург;sale;flat;2;24;2;53.87;7504000;2025;-1;18.0;+73432261625;;;Чкаловская;
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292272733/;Екатеринбург;sale;flat;8;10;3;78.7;8850000;2012;45.0;-1;+79122631024;Автовокзал;Николая Островского;;
Брусника;https://ekb.cian.ru/sale/flat/290023298/;Екатеринбург;sale;flat;2;8;2;64.51;7770000;2025;24.0;22.0;+73432261653;Чкаловский;Павлодарская;Ботаническая;Шишимская горка
Самолет Плюс Екатеринбург;https://ekb.cian.ru/sale/flat/291719682/;Екатеринбург;sale;flat;5;6;3;112.3;10500000;1995;54.0;18.0;+79122515743;Кировский;переулок Парковый;;
Брусника;https://ekb.cian.ru/sale/flat/282893748/;Екатеринбург;sale;flat;17;17;1;38.65;7980000;2024;11.0;11.0;+73432261621;Ленинский;;Чкаловская;Южные Кварталы ЖК
Самолет Плюс Екатеринбург;https://ekb.cian.ru/sale/flat/291719955/;Екатеринбург;sale;flat;7;11;1;48.1;11200000;2016;18.0;16.0;+79122515743;Центр;Степана Разина;;
Прогресс;https://ekb.cian.ru/sale/flat/293363681/;Екатеринбург;sale;flat;2;24;2;48.69;8738000;2026;-1;-1;+73432261039;Верх-Исетский;переулок Встречный;Геологическая;Жилой Квартал Progress Встречный
Самолет Плюс Екатеринбург;https://ekb.cian.ru/sale/flat/291719564/;Екатеринбург;sale;flat;15;26;2;74.4;11600000;2023;29.0;22.0;+79122515743;Автовокзал;Сурикова;Чкаловская;Нескучный сад
TEN девелопмент;https://ekb.cian.ru/sale/flat/264336144/;Екатеринбург;sale;flat;18;24;-1;202.0;9174000;2023;13.0;16.0;+73432261702;Центр;Большакова;Геологическая;RedRock
Самолет Плюс Екатеринбург;https://ekb.cian.ru/sale/flat/291719925/;Екатеринбург;sale;flat;8;10;3;124.5;14900000;2001;64.0;16.0;+79122515743;Кировский;Ботаническая;;
Прогресс;https://ekb.cian.ru/sale/flat/276808829/;Екатеринбург;sale;flat;4;24;3;73.35;9502000;2025;-1;20.0;+73432261625;;;Чкаловская;
Диал;https://ekb.cian.ru/sale/flat/293233458/;Екатеринбург;sale;flat;3;5;2;41.4;2300000;1972;27.0;6.0;+79126902135;;;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/292041396/;Екатеринбург;sale;flat;23;31;3;65.0;9707000;2023;30.0;16.0;+73432261706;Ленинский;Академика Бардина;Чкаловская;Дом на Бардина
ID 97946622;https://ekb.cian.ru/sale/flat/290976047/;Екатеринбург;sale;flat;3;5;2;48.0;2300000;1988;-1;-1;+79126009037;Ленинский;Черноисточинское шоссе;;
Брусника;https://ekb.cian.ru/sale/flat/290023295/;Екатеринбург;sale;flat;7;8;3;83.84;9880000;2025;36.0;18.0;+73432261653;Чкаловский;Павлодарская;Ботаническая;Шишимская горка
Новосёл;https://ekb.cian.ru/sale/flat/293879557/;Екатеринбург;sale;flat;2;31;2;45.7;4990000;2022;12.0;20.0;+79827408357;;;Геологическая;
ACONS GROUP;https://ekb.cian.ru/sale/flat/292938828/;Екатеринбург;sale;flat;5;30;1;47.14;10796000;2023;15.0;19.0;+73432261672;Автовокзал;Машинная;Чкаловская;Clever park
Диал;https://ekb.cian.ru/sale/flat/292260352/;Екатеринбург;sale;flat;8;10;1;41.0;3390000;2017;16.0;9.0;+79126924351;Чкаловский;Круговая;Чкаловская;Рудный
TEN девелопмент;https://ekb.cian.ru/sale/flat/292336929/;Екатеринбург;sale;flat;5;24;-1;202.0;14475000;2023;31.0;14.0;+73432261702;Центр;Большакова;Геологическая;RedRock
Диал;https://ekb.cian.ru/sale/flat/292260344/;Екатеринбург;sale;flat;3;3;2;48.7;4299000;1952;29.0;6.0;+79120301868;Орджоникидзевский;Старых Большевиков;Машиностроителей;
TEN девелопмент;https://ekb.cian.ru/sale/flat/281876802/;Екатеринбург;sale;flat;3;24;-1;202.0;17057000;2023;37.0;20.0;+73432261702;Центр;Большакова;Геологическая;RedRock
Новосёл;https://ekb.cian.ru/sale/flat/291674387/;Екатеринбург;sale;flat;14;14;2;61.0;5990000;1994;33.0;9.0;+79126927667;Орджоникидзевский;Ильича;Уралмаш;
TEN девелопмент;https://ekb.cian.ru/sale/flat/282762396/;Екатеринбург;sale;flat;3;16;2;82.1;19913600;2024;32.0;22.0;+73432261692;Центр;Маршала Жукова;Динамо;19/05
Диал;https://ekb.cian.ru/sale/flat/291865173/;Екатеринбург;sale;flat;1;9;1;30.3;3890000;1987;14.0;8.0;+79122521580;Верх-Исетский;Металлургов;;
ACONS GROUP;https://ekb.cian.ru/sale/flat/292938822/;Екатеринбург;sale;flat;8;30;3;98.01;20203000;2023;50.0;20.0;+73432261672;Автовокзал;Машинная;Чкаловская;Clever park
Диал;https://ekb.cian.ru/sale/flat/290500330/;Екатеринбург;sale;flat;24;25;3;76.0;6880000;2022;41.0;18.0;+79120301868;Орджоникидзевский;проспект Космонавтов;Проспект Космонавтов;Новатор
АТОМ;https://ekb.cian.ru/sale/flat/284311689/;Екатеринбург;sale;flat;12;26;2;33.58;3550000;2024;-1;-1;+73432261849;;;Чкаловская;Нова парк ЖК
Этажи Екатеринбург;https://ekb.cian.ru/sale/flat/292387321/;Екатеринбург;sale;flat;13;16;1;34.3;4500000;2020;14.0;11.0;+79122321950;Чкаловский;Чемпионов;;
РСГ-Академическое;https://ekb.cian.ru/sale/flat/289116411/;Екатеринбург;sale;flat;1;15;1;32.59;3631284;2025;-1;-1;+73432261781;;;Чкаловская;
НОВОГРАД;https://ekb.cian.ru/sale/flat/291152851/;Екатеринбург;sale;flat;20;20;2;41.4;5200000;2022;12.0;18.0;+79122629914;Чкаловский;Олега Кошевого;;Уктус
Стройтэк;https://ekb.cian.ru/sale/flat/293522498/;Екатеринбург;sale;flat;2;26;1;32.91;3932745;2025;10.0;10.0;+73432261664;;;Чкаловская;
Новосёл;https://ekb.cian.ru/sale/flat/292893057/;Екатеринбург;sale;flat;6;9;1;29.2;3080000;1978;17.0;6.0;+79826513715;Орджоникидзевский;Таганская;;
РСГ-Академическое;https://ekb.cian.ru/sale/flat/287623919/;Екатеринбург;sale;flat;1;10;1;34.48;4187253;2025;-1;-1;+73432261773;;;Чкаловская;Кварталы Конструктивизма ЖК
Этажи Екатеринбург;https://ekb.cian.ru/sale/flat/280685963/;Екатеринбург;sale;flat;4;6;3;106.7;14700000;1997;-1;12.0;+79655291876;Центр;Урицкого;;
Корпорация Маяк;https://ekb.cian.ru/sale/flat/293291234/;Екатеринбург;sale;flat;4;9;1;45.4;4187500;2022;23.0;9.0;+73432261844;Чкаловский;Круговая;Ботаническая;Рудный
Диал;https://ekb.cian.ru/sale/flat/293527883/;Екатеринбург;sale;flat;3;9;1;28.2;3790000;1972;15.0;5.0;+79120301868;Верх-Исетский;Белореченская;;
Стройтэк;https://ekb.cian.ru/sale/flat/284347381/;Екатеринбург;sale;flat;1;18;1;35.85;4550000;2024;11.0;15.0;+73432261797;Железнодорожный;Сортировочный жилрайон;Уральская;Абрикос ЖК
НОВОГРАД;https://ekb.cian.ru/sale/flat/291152847/;Екатеринбург;sale;flat;5;25;2;42.2;3900000;2020;12.0;16.0;+79122629914;;;;
РСГ-Академическое;https://ekb.cian.ru/sale/flat/293804077/;Екатеринбург;sale;flat;4;15;2;44.3;4574034;2025;-1;-1;+73432261781;;;Чкаловская;
Новосёл;https://ekb.cian.ru/sale/flat/287230528/;Екатеринбург;sale;flat;1;5;1;29.0;3030000;1968;16.0;6.0;+79826513715;Верх-Исетский;Малый Конный Полуостров;Площадь 1905 года;
Эталон;https://ekb.cian.ru/sale/flat/292760502/;Екатеринбург;sale;flat;24;25;2;37.21;4621379;2023;19.0;3.0;+73432261658;Железнодорожный;Пехотинцев;Уральская;Rauta
Новосёл;https://ekb.cian.ru/sale/flat/292795325/;Екатеринбург;sale;flat;12;27;3;107.0;13690000;2014;60.0;26.0;+79827408357;Автовокзал;Авиационная;Чкаловская;
Эталон;https://ekb.cian.ru/sale/flat/292760502/;Екатеринбург;sale;flat;24;25;2;37.21;4621379;2023;19.0;3.0;+73432261658;Железнодорожный;Пехотинцев;Уральская;Rauta
Диал;https://ekb.cian.ru/sale/flat/293417105/;Екатеринбург;sale;flat;1;9;1;31.0;3690000;1973;18.0;6.0;+79126924351;Октябрьский;тракт Сибирский;Чкаловская;
РСГ-Академическое;https://ekb.cian.ru/sale/flat/293712366/;Екатеринбург;sale;flat;11;14;1;35.4;4687245;2022;-1;-1;+73432261665;;;Чкаловская;
Диал;https://ekb.cian.ru/sale/flat/293493337/;Екатеринбург;sale;flat;5;9;3;63.0;5490000;1986;41.0;8.0;+79126924351;Чкаловский;Исетская;Ботаническая;
Астон;https://ekb.cian.ru/sale/flat/293318681/;Екатеринбург;sale;flat;2;31;1;24.8;4704400;2023;-1;-1;+73432261743;Ленинский;Амундсена;Чкаловская;Астон. Событие
Новосёл;https://ekb.cian.ru/sale/flat/293439502/;Екатеринбург;sale;flat;18;21;3;141.8;20490000;2014;62.0;30.0;+79122632112;Верх-Исетский;Мельникова;Геологическая;
Стройтэк;https://ekb.cian.ru/sale/flat/293206057/;Екатеринбург;sale;flat;15;17;1;34.29;4712990;2023;13.0;10.0;+73432261852;;;Чкаловская;
ЛИНК;https://ekb.cian.ru/sale/flat/292391186/;Екатеринбург;sale;flat;8;10;3;84.0;6300000;2004;46.0;11.0;+79827305960;Железнодорожный;Билимбаевская;Уралмаш;
Корпорация Маяк;https://ekb.cian.ru/sale/flat/290952306/;Екатеринбург;sale;flat;6;9;2;51.0;4761400;2022;27.0;10.0;+73432261844;Чкаловский;Круговая;Ботаническая;Рудный
Диал;https://ekb.cian.ru/sale/flat/290046389/;Екатеринбург;sale;flat;2;5;2;43.0;3400000;-1;28.0;5.0;+79826903238;Чкаловский;Бисертская;;
ПИК;https://ekb.cian.ru/sale/flat/293795991/;Екатеринбург;sale;flat;9;25;1;32.0;4776128;2025;9.0;16.0;+73432261629;Железнодорожный;;Уральская;Космонавтов 11 ЖК
Новосёл;https://ekb.cian.ru/sale/flat/291187244/;Екатеринбург;sale;flat;7;16;1;38.0;3799000;2009;17.0;10.0;+79826513715;Железнодорожный;Билимбаевская;Уралмаш;
ЖилСтрой;https://ekb.cian.ru/sale/flat/292485613/;Екатеринбург;sale;flat;2;25;1;40.38;4869000;2025;15.0;-1;+73432261630;;;Чкаловская;Горки ЖК
Диал;https://ekb.cian.ru/sale/flat/292513760/;Екатеринбург;sale;flat;1;16;1;39.0;3600000;1998;17.0;8.0;+79826318102;Железнодорожный;Техническая;;
45-й квартал;https://ekb.cian.ru/sale/flat/287667959/;Екатеринбург;sale;flat;2;4;1;37.0;5032000;2023;-1;-1;+73432261856;Ленинский;;Чкаловская;Твоя Привилегия ЖК
Диал;https://ekb.cian.ru/sale/flat/292698848/;Екатеринбург;sale;flat;5;5;2;43.0;3950000;1964;29.0;5.0;+79126902135;Орджоникидзевский;Донская;Уралмаш;
Страна Девелопмент;https://ekb.cian.ru/sale/flat/292850913/;Екатеринбург;sale;flat;5;32;1;30.56;5360000;2025;10.0;10.0;+73432261784;Октябрьский;;Ботаническая;Сибирский Сад ЖК
Диал;https://ekb.cian.ru/sale/flat/293017069/;Екатеринбург;sale;flat;1;3;2;42.2;4630000;1961;28.0;6.0;+79126517046;Кировский;40-летия Комсомола;;
Стройтэк;https://ekb.cian.ru/sale/flat/293522650/;Екатеринбург;sale;flat;1;26;2;55.88;5420360;2025;23.0;19.0;+73432261664;;;Чкаловская;
Диал;https://ekb.cian.ru/sale/flat/291865174/;Екатеринбург;sale;flat;5;5;3;60.6;6250000;1967;45.0;6.0;+79126316275;Верх-Исетский;Папанина;Площадь 1905 года;
РСГ-Академическое;https://ekb.cian.ru/sale/flat/293370386/;Екатеринбург;sale;flat;15;15;1;41.2;5533421;2022;-1;-1;+73432261708;;;Чкаловская;
Диал;https://ekb.cian.ru/sale/flat/292534301/;Екатеринбург;sale;flat;4;20;2;56.2;8990000;2010;30.0;11.0;+79126517046;Автовокзал;Союзная;;
Стройтэк;https://ekb.cian.ru/sale/flat/291642655/;Екатеринбург;sale;flat;3;25;1;35.74;5711324;2025;9.0;15.0;+73432261779;Чкаловский;;;Грин Гарден ЖК
Новосёл;https://ekb.cian.ru/sale/flat/292406192/;Екатеринбург;sale;flat;1;4;2;40.0;3750000;1960;28.0;6.0;+79827408357;Чкаловский;Симферопольская;Ботаническая;
ЖилСтрой;https://ekb.cian.ru/sale/flat/293841878/;Екатеринбург;sale;flat;2;25;2;53.35;6127000;2025;26.0;-1;+73432261630;;;Чкаловская;Горки ЖК
Диал;https://ekb.cian.ru/sale/flat/290917831/;Екатеринбург;sale;flat;14;20;3;54.5;6540000;2018;26.0;15.0;+79826884558;Чкаловский;Инженерная;;
Прогресс;https://ekb.cian.ru/sale/flat/293362946/;Екатеринбург;sale;flat;1;24;1;32.0;6388000;2026;-1;-1;+73432261039;Верх-Исетский;переулок Встречный;Геологическая;Жилой Квартал Progress Встречный
Новосёл;https://ekb.cian.ru/sale/flat/292645568/;Екатеринбург;sale;flat;4;16;2;48.0;4999000;1986;30.0;8.0;+79826515937;Орджоникидзевский;Красных Борцов;Уралмаш;
Эталон;https://ekb.cian.ru/sale/flat/292808441/;Екатеринбург;sale;flat;15;25;1;43.99;6519927;2024;10.0;21.0;+73432261761;Октябрьский;Южный жилрайон;Ботаническая;Суомен Ранта ЖК
Макромир Екатеринбург;https://ekb.cian.ru/sale/flat/293232012/;Екатеринбург;sale;flat;5;5;2;43.9;5990000;1980;28.0;5.0;+79122913459;Автовокзал;Сурикова;;
Ривьера-Инвест-Екб;https://ekb.cian.ru/sale/flat/293781397/;Екатеринбург;sale;flat;14;21;2;58.3;6529600;2024;-1;-1;+73432261713;Орджоникидзевский;Орловская;Уралмаш;Белая башня
